"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.56537558437163","-2.06466866116358","-3.71966829310986","-3.99257850113906","-4.7019758026597","3.72747116428307","1.9493744544661","-4.46043165467626","-7.76672194582642","-3.48458260215593","-9.39597315436242","-12.258064516129","-10.6387524033326","-10.4802604802605","-12.4972054549519","-16.5225519981304","-15.9728308501315","-17.1919770773639","-8.79465705588805","-6.33107615142024","-0.127843375920314","1.40110036130777","1.2930912919311","-0.827008162201393","","","",
"","AFE","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.617438402719714","0.673427112648291","1.69856574001133","-0.0184575714922808","-1.20306861887383","-0.655326003857617","-1.15892795321622","-1.97622768662186","-0.517358739243718","0.11843057508089","0.121746721701523","0.123127396633805","-0.62357333568287","-1.20992271504321","-0.474090895855937","0.239512313942825","0.30300253960646","-0.557338327806846","-4.12314335071779","-0.911380956156883","-0.494660986473185","-3.13238238335287","-4.64878797249673","-4.10507052951151","-6.6476694366256","-4.55010396519302","-3.1690945416957","-2.98105965953713","-3.11954635195243","-2.34826375649941","",
"Afganistán","AFG","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","-2.89256015128759","-3.64372303266733","-4.47154218553776","-7.69230923987239","-9.16666282407429","-10.1545243532203","-9.99999976190476","-7.43691861540118","-6.31067978210324","-4.88959026286458","-2.16010550092615","-5.21845294341042","-3.34261855199759","-1.79487263543725","-0.824742290147732","-1.59624388423813","-1.65217416672968","-3.16027116622249","-3.03030346903376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","-5.89952041537412","-6.39666459802604","-4.29173571914264","-3.95558460005411","-3.67824918484929","-4.17923125130207","-3.19619495785507","-4.03613380794235","-3.00905617503561","-2.42272643569254","-1.98461210229559","-2.90084870919312","-1.66828473484581","-0.974833693521212","6.57571874207121","-5.29208214071857","-5.40222617516081","-0.0922670436598025","-4.73092916378444","1.17921932726651","5.35946476032721","-2.24929643801052","-1.21277769357798","0.137128471581756","3.06408005307348","2.27661218359513","-1.43245449747614","0.812431577325782","0.354153691911112","6.61658657433344","5.12238899159286","4.59559793736228","3.31769061340556","1.08798252417222","1.79305410848668","4.21767269556631","2.95172505394427","2.49156954728686","-3.50966559407086","2.28268380913435","12.5001012726441","2.52590215822265","2.64846105100835","1.08098837059853","4.31814649153011","5.33083626329367","10.2537778827964","0.85220770850119","6.00997486547775","-1.05337417290935","3.55383372752226","6.01507696329461","11.0040185630962","1.78410850306325","2.41728838612335","-2.76640987202808","-4.39840621582718","-1.59923062964193","-2.21246926651319","-4.33066937824449","-6.04295800202084","",
"Angola","AGO","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.824552915418","0.442092772187014","8.8682492091045","4.74144794652078","13.1807667012217","24.461573409733","32.3105676757973","27.7514988509558","23.5853490387218","-4.93153630624626","18.9625954871885","21.3573890242463","20.0801642036572","14.682237998767","10.0571349913456","-3.37932179829982","2.87881384257136","5.75137865514493","15.294468956569","14.3990726662971","8.66885714368662","",
"Albania","ALB","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","0.420891317151782","1.52054703574025","-4.66472579620985","-2.70651732195469","-2.03502016822331","-2.2940788329814","-0.424944616985555","-0.0997202393074286","-2.93908246795073","-2.87937954098593","-8.62683574443122","-21.1008826139267","-83.7862892546581","-48.5606731436399","-29.1351960402252","-22.3289358788678","-21.654778247333","-25.0313016865666","-25.203202303247","-17.3275044297263","-23.223502042103","-23.8242023679162","-26.6338358771749","-25.3257881364185","-22.6120657867624","-24.8463644808329","-23.847874784442","-26.7063492721081","-26.8469152641495","-24.6134171841781","-20.584519761706","-22.7354946548734","-18.6352250994327","-18.0410835722746","-18.9818426795575","-17.2662240371134","-16.8540644722268","-15.0546579004221","-13.6642637061313","-13.6720639062167","-14.7477418994754","",
"Andorra","AND","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.15566961581668","7.61948073647905","9.51748690212745","11.5069395236844","15.9502850626356","17.6401041020049","13.3491306132299","15.3346889481252","3.87782019142869","10.5873712472119","17.9863891967989","18.6678895226442","15.6370856581715","10.324300468335","0.0302424683513394","-0.342229621373114","3.01985096328833","8.39794265237816","5.54189547566156","","",
"Emiratos Árabes Unidos","ARE","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.45387072628172","5.93503595338458","9.54622893956581","10.5128471038986","15.6177511375138","17.7849257652414","7.97004213484629","9.22223337735726","5.84469136599967","20.6073043399822","28.487188825155","36.2436431622378","35.819623500178","30.6293527751379","26.5196529027539","25.2583798030578","24.1855263794301","26.3674720541924","25.9929142723236","","",
"Argentina","ARG","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","2.12913319746322E-06","1.67858472267841E-06","-4.69184013156704","2.16987435263046E-06","1.53002140132025E-06","2.07529146538738","1.66322935005796","2.49853207958065","1.08074204025606","0","0.865689271084736","-0.600723152966151","0.359888480895527","1.90316693082669","0.613561737587651","-0.154620697463696","3.25389196864065","2.28949825749737","2.89298350379594","0.181146292373481","-1.42172709852892","-0.450878518224076","2.56950005720169","3.31537126678235","2.83340919435594","5.46277097078228","1.83792229645136","0.297441743848656","3.31976733716303","6.47902011524435","5.72821418510863","1.59703253775518","-1.53460564227824","-2.40444838036731","-3.0744484151647","-0.410602571195211","-0.649274893693637","-2.21447863989155","-2.51886405088506","-1.72839593260512","-0.649694312619028","1.30576071351812","15.0124696397722","11.2171378217363","7.00259273903135","5.94048249709131","5.61990933570791","4.38033000444218","3.71912738621024","5.06484320667575","2.8966335471722","1.69226329066661","1.94917655233833","-0.0995822252265794","0.404163533523684","-1.07492198807163","-1.03969751087799","-2.64903441833118","-1.88916445518585","3.17744094649714","3.03549170831533","",
