Países,IDH,Ranking IDH,Ranking IDH,Var.
Siria [+],"0,567",151º,,-1
Suazilandia [+],"0,611",138º,,-1
Chad [+],"0,398",187º,,0
Togo [+],"0,515",167º,,-1
Tailandia [+],"0,777",79º,,1
Tayikistán [+],"0,668",125º,,-1
Timor Oriental [+],"0,606",141º,,0
Turkmenistán [+],"0,715",111º,,-1
Túnez [+],"0,740",95º,,1
Tonga [+],"0,725",104º,,-1
Turquía [+],"0,820",54º,,0
Trinidad y Tobago [+],"0,796",67º,,0
Tanzania [+],"0,529",163º,,-1
Ucrania [+],"0,779",74º,,-1
Uganda [+],"0,544",159º,,-1
Uruguay [+],"0,817",55º,,0
Uzbekistán [+],"0,720",106º,,-1
San Vicente y las Granadinas [+],"0,738",97º,,1
Venezuela [+],"0,711",113º,,12
Vietnam [+],"0,704",117º,,-1
Vanuatu [+],"0,609",140º,,0
Samoa [+],"0,715",111º,,-2
Yemen [+],"0,470",179º,,0
Sudáfrica [+],"0,709",114º,,-1
Zambia [+],"0,584",146º,,1
Zimbabue [+],"0,571",150º,,0
