"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","65.9566699010709","66.2115534657693","68.9866244491799","64.9367965878955","71.3728569140859","71.1472593251944","76.268509685343","71.3941676639411","68.4685767487584","131.559241004379","185.593470788987","175.674098709786","119.928334893458","94.9046796008834","118.963882295407","127.046843177189","94.6483453237408","115.487838584854","85.1987966909","86.6454667483167","85.1458518552611","86.2935270241402","87.3137973137972","89.2734182875028","93.6807665342372","99.0030674846626","102.049812651532","101.750580736541","105.800148149779","100.750161475224","98.2923951164793","99.7650651593922","106.233102403869","","","",
"","AFE","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","8.4430878810229","9.4163039291625","9.06077581093511","8.92684347223541","8.99325173137828","8.56362311251018","7.6092335886151","7.74591759060267","8.46885223047514","7.66988465078143","7.2101437926813","7.7422339999798","8.31223327727565","8.93597204629245","8.56497355719048","9.23836933558725","9.30472966798575","9.6526788312974","9.89925334361616","10.4045582006532","10.4932781240339","11.3547341756238","11.4654175185776","10.5322499480831","11.2869722874712","11.4265412305111","10.6892836430857","10.6413144807484","10.8790132288835","11.1715155166492","11.9272774595641","13.1850639961157","12.0227196124864","11.719233450855","12.2380074189072","12.2151629504599","12.1709366681598","12.3277883521496","11.6746246582649","11.2486101252401","10.6693022724245","10.9792328878204","10.5000794362711","8.2472781541483","",
"Afganistán","AFG","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","5.94114495271469","4.92623914937334","5.60540064803658","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2117094518578","20.5621233265122","20.2652948738","23.3342036307082","18.2504588316243","11.9424109363254","13.8664174484704","10.7426848656866","9.05292561748542","8.58067627359032","11.6383009120807","9.9181306788779","8.97181880510801","",
"","AFW","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","11.9208418351269","12.679258649351","11.6656121920605","12.2767217498066","6.02089457441751","5.50427286588242","6.52300405535261","7.01377854675171","7.28850997070653","8.01874995266055","7.93026026875092","8.38782820007685","10.1155616973205","10.2861541649568","11.0350387449427","10.6266541197981","13.8677757177703","13.9057653398748","9.45459038203692","9.48484093319663","8.54881583973979","8.79894706665304","10.9094838311994","10.9741443284562","11.9179785642728","10.8980697419905","11.0054844067191","10.1209700723507","8.80616088818351","9.76766152615973","10.097047267128","10.3428863701912","10.0732760477725","9.32105295483142","9.52789929374856","8.78299928452226","7.94382160187993","7.91823622192603","8.62716850234941","8.15376435309416","9.83936441719898","11.4548936501801","12.5299229652669","9.00884730201552","",
"Angola","AGO","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.1938682316618","9.94052182030449","6.3830797816173","14.3911956083636","12.9887965488906","17.0615379900209","18.9592686666667","26.3034511370943","28.9093573290816","38.5979291107506","39.0784615518171","35.7532463995354","35.8763676514716","42.374926284634","44.6541254324151","32.4958227469043","41.6361175932521","23.085715691937","19.773626814688","21.7624167652463","18.8467278553635","17.1730529801315","19.8478039714288","25.3773970573697","28.151635734932","23.4025768776382","21.8286186856867","17.9022609180175","17.8317706613607","18.2819241999795","15.9495732415412","13.1793153009977","12.1007302484466","10.5774948592528","9.64786715902624","9.71213771552311","",
"Albania","ALB","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","1.85749711575362","1.73427151029927","1.70216722362579","2.03287563594946","2.72031073943823","3.02251574504347","2.9873499777859","3.87428040912866","16.7746389446098","20.2055913697448","11.2496253999846","10.6696652466699","9.95736604667438","5.47672059675725","6.508731655095","14.3487716245035","25.5318763205832","25.3129649710976","26.9593284811972","27.598162857426","30.0027766489941","32.9051245290765","36.1879342396954","37.7341077267002","39.6561713101477","40.6013904971287","38.4822128372387","39.2694310488183","34.9265912703328","33.3607507913208","34.4802886577648","34.3873395874008","37.2773563494623","40.3938990008864","39.1275844857105","40.2680355675172","26.1634945850069","",
"Andorra","AND","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.58190649692","","",
"El mundo árabe","ARB","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","14.5644444897165","16.747013878148","20.3644187586748","17.5818599562349","20.2749547561881","19.8896436442025","21.5079389733031","20.235665221551","18.2206906985432","15.6739124502334","14.3292731257019","15.1570245083029","16.0760942218979","","20.4927046181053","20.3960100124301","18.2221212918816","15.7883162198802","15.2816896138928","15.2120071818208","15.3604127354927","14.1551676380295","13.9216675286815","13.787434910583","13.0258830787776","14.6981423792625","15.7597311606658","16.480754783","15.0686961704957","15.8811763239493","16.5032733842093","15.621726605547","16.9188926512933","15.3386713089333","14.8595799601319","14.241534850218","14.3510604511501","16.1653792485894","17.5189633925741","16.9518595718369","18.4279752908402","18.1024286815095","17.3693570052313","13.4748300962986","",
"Emiratos Árabes Unidos","ARE","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","2.84544504657661","3.37789048553247","4.52973483046151","6.0402300734406","7.35948339725928","6.5457634611401","4.26059432533735","3.53821081369546","4.80453131037769","4.34081044642107","3.69317219969648","3.92417375368733","3.73751601125561","6.50600445444332","3.93767720386387","3.38129903643769","3.71237874675919","3.9564045565041","4.05546923555003","4.28063600700301","4.52661033446144","4.62371249650554","4.72118070582919","4.76483230820728","4.95398955911897","4.84780538283328","8.47726212553586","7.81891734473324","7.09409499310412","7.02181442228367","7.13157161999355","7.32894576338543","6.934055005559","6.93180305694933","6.47688840245541","6.06350000180398","5.96931835780134","5.92159618620857","5.97242272666435","5.42111948411949","6.33167395769763","6.32474044596482","7.54918134774687","7.61052306755275","5.40456958522114","",
